a,b,count,passages,same_series,numerically_near,involves_stroke,candidate
008,551,2,2,False,False,False,True
316,356,2,2,True,False,False,True
400,430,2,2,True,False,False,True
003,040,3,1,True,False,True,False
400,600,2,1,False,False,False,False
001,004,1,1,True,True,True,False
001,066,1,1,True,False,True,False
001,025,1,1,True,False,True,False
004,290,1,1,False,False,True,False
008,081,1,1,True,False,False,False
009,599,1,1,False,False,False,False
013,110,1,1,False,False,False,False
013,200,1,1,False,False,False,False
017,021,1,1,True,True,False,False
034,045,1,1,True,False,False,False
040,041,1,1,True,True,False,False
048,117,1,1,False,False,False,False
056,084,1,1,True,False,False,False
066,074,1,1,True,True,False,False
066,117,1,1,False,False,False,False
070,660,1,1,False,False,False,False
078,600,1,1,False,False,False,False
110,141,1,1,True,False,False,False
207,561,1,1,False,False,False,False
214,216,1,1,True,True,False,False
254,256,1,1,True,True,False,False
280,290,1,1,True,True,False,False
301,381,1,1,True,False,False,False
301,394,1,1,True,False,False,False
307,607,1,1,False,False,False,False
309,464,1,1,False,False,False,False
381,385,1,1,True,True,False,False
381,451,1,1,False,False,False,False
386,551,1,1,False,False,False,False
409,609,1,1,False,False,False,False
430,630,1,1,False,False,False,False
430,431,1,1,True,True,False,False
450,710,1,1,False,False,False,False
522,685,1,1,False,False,False,False
630,631,1,1,True,True,False,False
720,721,1,1,True,True,False,False
741,742,1,1,True,True,False,False
